Tumour Size,Lymph nodes,Metastasis,Oestrogen,Age,Tumour Stage,Surgery,Adjuvant therapy,Survival > 10y,Pain Pre,Pain Post,Pain Follow,Virtual Evidence Pain,Fatigue Pre,Fatigue Post,Fatigue Follow,Virtual Evidence Fatigue,Body Image Pre,Body Image Post,Body Image Follow,Virtual Evidence Body Image,_weight
,,yes,negative,,IV,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,similar,similar,decreased_or_similar,neutral,similar,similar,increased_or_similar,1
x__5_cm,x10_or_more,yes,negative,,IV,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,moderate,better,similar,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.3
x__5_cm,x10_or_more,yes,negative,,IV,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,moderate,similar,better,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.375
x__5_cm,x10_or_more,yes,negative,,IV,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,moderate,worse,much_better,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.075
x__5_cm,x10_or_more,yes,negative,,IV,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,severe,much_better,similar,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.1
x__5_cm,x10_or_more,yes,negative,,IV,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,severe,better,better,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.10625
x__5_cm,x10_or_more,yes,negative,,IV,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,severe,better,similar,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.01875
x__5_cm,x10_or_more,yes,negative,,IV,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,severe,similar,much_better,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.02125
x__5_cm,x10_or_more,yes,negative,,IV,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,severe,similar,better,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.00375
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,little,similar,worse,increased,neutral,similar,similar,increased_or_similar,0.28
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,little,similar,much_worse,increased,neutral,similar,similar,increased_or_similar,0.07
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,little,worse,better,increased,neutral,similar,similar,increased_or_similar,0.1
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,little,worse,similar,increased,neutral,similar,similar,increased_or_similar,0.14
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,little,worse,worse,increased,neutral,similar,similar,increased_or_similar,0.04
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,little,much_worse,much_better,increased,neutral,similar,similar,increased_or_similar,0.028
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,little,much_worse,better,increased,neutral,similar,similar,increased_or_similar,0.035
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,little,much_worse,similar,increased,neutral,similar,similar,increased_or_similar,0.007
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,moderate,similar,similar,increased,neutral,similar,similar,increased_or_similar,0.133
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,moderate,similar,worse,increased,neutral,similar,similar,increased_or_similar,0.027
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,moderate,worse,better,increased,neutral,similar,similar,increased_or_similar,0.033
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,moderate,worse,similar,increased,neutral,similar,similar,increased_or_similar,0.007
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,severe,similar,worse,increased,neutral,similar,similar,increased_or_similar,0.03
,,no,positive,,,,hormone_therapy,yes,absent,similar,similar,decreased_or_similar,severe,worse,similar,increased,neutral,similar,similar,increased_or_similar,0.07
,,no,negative,,,mastectomy,none,yes,absent,worse,,decreased_or_similar,absent,similar,,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.09
,,no,negative,,,mastectomy,none,yes,absent,worse,,decreased_or_similar,absent,similar,,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.18
,,no,negative,,,mastectomy,none,yes,absent,much_worse,,decreased_or_similar,absent,similar,,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.03
,,no,negative,,,mastectomy,none,yes,absent,worse,,decreased_or_similar,absent,worse,,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.21
,,no,negative,,,mastectomy,none,yes,absent,worse,,decreased_or_similar,absent,worse,,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.42
,,no,negative,,,mastectomy,none,yes,absent,much_worse,,decreased_or_similar,absent,worse,,decreased_or_similar,neutral,similar,similar,increased_or_similar,0.07
,,no,negative,,,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,similar,similar,decreased_or_similar,neutral,similar,similar,increased_or_similar,1
,,no,negative,,,,chemotherapy,yes,absent,similar,,decreased_or_similar,absent,worse,,decreased_or_similar,neutral,similar,,increased_or_similar,0.1
,,no,negative,,,,chemotherapy,yes,absent,similar,,decreased_or_similar,absent,worse,,decreased_or_similar,neutral,similar,,increased_or_similar,0.35
,,no,negative,,,,chemotherapy,yes,absent,similar,,decreased_or_similar,absent,much_worse,,decreased_or_similar,neutral,similar,,increased_or_similar,0.55
,,no,negative,x50_59,IIIA_B,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,similar,similar,decreased_or_similar,neutral,worse,,decreased,0.65
,,no,negative,x50_59,IIIA_B,,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,similar,similar,decreased_or_similar,neutral,similar,,increased_or_similar,0.35
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.020901563
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.029859375
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.008957813
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,better,decreased,0.011254688
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.016078125
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.004823438
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.006967188
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.009953125
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.002985938
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,similar,decreased,0.003751563
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.005359375
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.001607813
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.01194375
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.0170625
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00511875
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,similar,worse,decreased,0.00643125
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.0091875
,,no,negative,x40_49,IIA,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00275625
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.010536094
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.015051563
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.004515469
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,better,decreased,0.005673281
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.008104688
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.002431406
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.005673281
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.008104688
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.002431406
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,similar,decreased,0.003054844
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.004364063
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.001309219
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.000853125
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00121875
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.000365625
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,similar,worse,decreased,0.000459375
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.00065625
,,no,negative,x40_49,IIA,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.000196875
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.020901563
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.029859375
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.008957813
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,better,decreased,0.011254688
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.016078125
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,better,decreased,0.004823438
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.006967188
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.009953125
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.002985938
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,worse,similar,decreased,0.003751563
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,similar,decreased,0.005359375
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,worse,similar,decreased,0.001607813
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.01194375
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.0170625
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00511875
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,similar,decreased_or_similar,neutral,similar,worse,decreased,0.00643125
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,similar,worse,decreased,0.0091875
,,no,negative,x40_49,IIB,breast_conserving,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,much_worse,much_better,decreased_or_similar,neutral,similar,worse,decreased,0.00275625
,,no,negative,x40_49,IIB,mastectomy,chemotherapy,yes,absent,similar,similar,decreased_or_similar,absent,worse,better,decreased_or_similar,neutral,worse,better,decreased,0.010536094
